Product name,Brand,GTIN,Ordinary Price,Active Promotion Price,Min Quantity,Total for x items
"Mellanmjölk 1,5%",GARANT,"=""7340083443893""",16.95,16.33,3,48.99
Ägg M Frigående Inomhus,GARANT,"=""7311041072226""",64.95,N/A,N/A,N/A
Vispgrädde 36%,ARLA KÖKET,"=""7310865061935""",29.95,25.95,1,25.95
Majs Original Extra Crispy 3-Pack,GREEN GIANT,"=""3254474019274""",27.95,24.95,1,24.95
Standardmjölk 3%,GARANT,"=""7340083443886""",17.95,16.33,3,48.99
"Kycklinglår, Fryst",GARANT,"=""7340083462238""",32.95,24.95,1,24.95
Creme Fraiche 32%,GARANT,"=""7340083448638""",30.95,N/A,N/A,N/A
"Kycklingbröstfile, Fryst",GARANT,"=""7340083434716""",93.95,N/A,N/A,N/A
Basturökt Skinka Skivad,GARANT,"=""7311041071748""",21.95,17.5,2,35.0
"Kycklingklubba, Fryst",GARANT,"=""7340083462214""",32.95,24.95,1,24.95
"Kycklingben, Fryst",GARANT,"=""7340083462207""",35.95,24.95,1,24.95
Falukorv Ring,GARANT,"=""7311041056318""",34.95,N/A,N/A,N/A
"Kycklingfilé Mörad, Fryst",KRONFÅGEL,"=""7300322624001""",205,N/A,N/A,N/A
"Kycklingfilé Mörad, Fryst",KRONFÅGEL,"=""7300322544002""",109,N/A,N/A,N/A
Smör/Rapsolja Flytande,ARLA KÖKET,"=""7311870652187""",35.5,29.95,1,29.95
Bacon 3-Pack,SCAN,"=""7300206718000""",45.95,N/A,N/A,N/A
"Kycklingbröstfilé, Fryst",ELDORADO,"=""7340083410956""",74.95,N/A,N/A,N/A
"Torskfilé, Fryst",GARANT,"=""7340083498176""",76.95,N/A,N/A,N/A
"Mellanmjölk 1,5% Laktosfri",GARANT,"=""7340083440489""",20.95,N/A,N/A,N/A
Vispgrädde 36% Laktosfri,GARANT,"=""7340083440458""",28.95,N/A,N/A,N/A
Majskyckling Hel,GARANT,"=""2307984000001""",74.95,59.95,1,59.95
Bacon 3-Pack,GARANT,"=""7340083497353""",39.95,N/A,N/A,N/A
Krossade Tomater,GARANT,"=""7340083469602""",12.5,11,3,33.0
Majskaka Popcorn,GARANT,"=""7340083490552""",19.5,17.5,2,35.0
Smör Normalsaltat,GARANT,"=""7340083447860""",47.95,N/A,N/A,N/A
Grillad Kyckling Skivad,GARANT,"=""7340083486746""",21.95,17.5,2,35.0
Kycklingfilé,GARANT,"=""7340083498428""",115,N/A,N/A,N/A
"Kycklinginnerfilé, Fryst",KRONFÅGEL,"=""7300322510007""",63.95,N/A,N/A,N/A
Lingongrova,PÅGEN,"=""7311071330525""",25.95,19.95,1,19.95
Falukorv,SCAN,"=""7300206787006""",39.95,N/A,N/A,N/A
Originalrost,SKOGAHOLM,"=""7312200040803""",31.95,27.95,1,27.95
Hushållsost 26%,ARLA,"=""2340375400004""",115,N/A,N/A,N/A
Smör Normalsaltat 80%,VALIO,"=""6408432061233""",54.95,N/A,N/A,N/A
"Krögarpytt Klassisk, Fryst",FELIX,"=""7310240075496""",92.95,N/A,N/A,N/A
"Torskryggfilé, Fryst",FINDUS,"=""7310500185927""",125,N/A,N/A,N/A
Parmigiano Reggiano 12 Mån,GARANT,"=""7340083488511""",47.95,N/A,N/A,N/A
Hamburgerbröd Brioche 4-pack,GARANT,"=""7340083444388""",22.5,N/A,N/A,N/A
Köttbullar,GARANT,"=""7311041056363""",64.95,N/A,N/A,N/A
Halloumi,GARANT,"=""7340083402241""",31.5,N/A,N/A,N/A
Pasta Gemelli,GARANT,"=""7340083494987""",14.95,13.5,2,27.0
Creme Fraiche 32% Laktosfri,GARANT,"=""7340083440373""",34.95,N/A,N/A,N/A
Kokosmjölk 17-18%,GARANT,"=""7340083427343""",14.95,12.25,4,49.0
Olivolja Classico Extra Virgin,GARANT,"=""7340083474187""",115,N/A,N/A,N/A
Strösocker,GARANT,"=""7311041063019""",33.95,N/A,N/A,N/A
"Lax Portion 4-Pack, Fryst",GARANT,"=""7340083481680""",149,N/A,N/A,N/A
Tortilla Large,GARANT,"=""7311041069806""",21.95,20,2,40.0
Ägg Frigående L 10-Pack,GARANT,"=""7340083478475""",33.5,N/A,N/A,N/A
Salami Milano,GARANT,"=""7340083468506""",23.95,17.5,2,35.0
Lätt Creme Fraiche 13%,GARANT,"=""7340083448614""",28.95,N/A,N/A,N/A
Passerade Tomater,GARANT,"=""7340083497827""",12.5,11,3,33.0
"Potatis Fast, Klass 1",GARANT,"=""7340083475580""",18.95,N/A,N/A,N/A
Finkrossade Tomtater,GARANT,"=""7340083480973""",29.95,N/A,N/A,N/A
Pasta Gnocchi,GARANT,"=""7340083478093""",14.95,13.5,2,27.0
"Torskfilé Sprödbakad, Fryst",GARANT,"=""7340083401183""",47.95,N/A,N/A,N/A
Creme Fraiche 32% Laktosfri,GARANT,"=""7340083436000""",15.95,13.5,2,27.0
Vetemjöl,GARANT,"=""7311041060216""",17.95,N/A,N/A,N/A
Creme Fraiche 32%,GARANT,"=""7340083448621""",12.95,N/A,N/A,N/A
Krossade Tomater Vitlök,GARANT,"=""7340083476563""",15.95,13,3,39.0
Vispgrädde 40%,GARANT,"=""7311041065006""",28.95,N/A,N/A,N/A
Basmatiris,GARANT,"=""7311043002528""",49.95,N/A,N/A,N/A
Majskaka Ranch,GARANT,"=""7340083490569""",19.5,17.5,2,35.0
Matlagningsgrädde 13%,GARANT,"=""7311041065068""",23.95,N/A,N/A,N/A
Cottage Cheese Naturell 4%,GARANT,"=""7340083444814""",27.95,N/A,N/A,N/A
Hamburgerbröd Sesam,GARANT,"=""7340083481017""",22.95,N/A,N/A,N/A
Bearnaisesås,GARANT,"=""7340083436208""",19.95,17.5,2,35.0
Tonfisk I Vatten 3-Pack,GARANT,"=""7340083496066""",59.95,N/A,N/A,N/A
"Waffle Fries, Fryst",GARANT,"=""7340083499111""",26.95,N/A,N/A,N/A
Jordgubbssylt Squeeze,GARANT,"=""7311043002306""",34.95,N/A,N/A,N/A
Vispgrädde 36%,GARANT,"=""7311041065013""",27.95,N/A,N/A,N/A
Tortilla Medium,GARANT,"=""7311041069790""",13.95,N/A,N/A,N/A
Matlagningsgrädde Laktosfri,GARANT,"=""7340083440359""",24.95,N/A,N/A,N/A
Creme Fraiche Lätt 13% Laktosfri,GARANT,"=""7340083435997""",14.95,13.5,2,27.0
"Broccoli, Fryst",GARANT,"=""7340083484605""",26.5,N/A,N/A,N/A
Skinka Extrarökt,GARANT,"=""7311043000470""",21.95,17.5,2,35.0
Russin,GARANT,"=""7311041063439""",45.95,N/A,N/A,N/A
"Blandsallad, Klass 1",GARANT,"=""7340083482168""",19.95,N/A,N/A,N/A
Pasta Fusilli Tricolore,GARANT,"=""7340083486920""",14.95,13.5,2,27.0
Kokt Skinka,GARANT,"=""7340083491351""",21.95,17.5,2,35.0
Gräddfil 12%,GARANT,"=""7340083497254""",12.5,N/A,N/A,N/A
Basmatiris Boil In Bag,GARANT,"=""7311043002542""",32.95,27.5,2,55.0
"Mellanmjölk 1,5% Laktosfri",GARANT,"=""7340083435973""",16.5,15,2,30.0
Pasta Tortelloni Pomodoro E Mozzarella,GARANT,"=""7340083430718""",29.95,24.5,2,49.0
Havredryck Barista,GARANT,"=""7340083480126""",17.95,16.33,3,48.99
Kycklingfärs,GARANT,"=""7340083498381""",74.95,N/A,N/A,N/A
Matlagningsgrädde 13% Laktosfri,GARANT,"=""7340083436024""",16.95,15,2,30.0
Rökt Skinka Tunna Skivor,GARANT,"=""7340083405822""",24.95,N/A,N/A,N/A
Peppar Salami,GARANT,"=""7311041072899""",20.95,17.5,2,35.0
Majskaka Ost,GARANT,"=""7340083496677""",19.5,17.5,2,35.0
Standardmjölk 3% Laktosfri,GARANT,"=""7340083447891""",20.95,N/A,N/A,N/A
"Pommes Strips, Fryst",GARANT,"=""7311041059159""",27.5,N/A,N/A,N/A
Vetemjöl,GARANT,"=""7311041066843""",43.95,N/A,N/A,N/A
"Lättmjölk 0,5%",GARANT,"=""7340083495670""",15.95,N/A,N/A,N/A
Parmigiano Reggiano Grovriven 12 Mån,GARANT,"=""7340083488504""",29.95,26,2,52.0
Hushållsost 26%,GARANT,"=""2359745700002""",89.95,N/A,N/A,N/A
Stekfläsk Skivat,GARANT,"=""7340083497223""",39.95,N/A,N/A,N/A
Taco Kryddmix Original,GARANT,"=""7340083487965""",9.95,8,2,16.0
Krossade Tomater Örter,GARANT,"=""7340083476549""",15.95,13,3,39.0
Basmatiris,GARANT,"=""7311043002535""",89.95,N/A,N/A,N/A
Ättika 24%,GARANT,"=""7340083498626""",15.95,12.5,2,25.0
Herrgård Mild 28%,ARLA,"=""2340418100007""",119,109,1,109
Hönö Skärgårdskaka,PÅGEN,"=""7311070337297""",37.95,N/A,N/A,N/A
"Pan Pizza Original 9-Pack, Fryst",BILLYS,"=""7310960024415""",109,N/A,N/A,N/A
Hushållsost 26%,ARLA,"=""2340375300007""",105,N/A,N/A,N/A
"Hamburgare 6X90g, Fryst",SCAN,"=""7300298919002""",61.95,N/A,N/A,N/A
Mamma Scans Köttbullar,SCAN,"=""7300200080004""",71.95,N/A,N/A,N/A
Krossade Tomater 3-Pack,MUTTI,"=""8005110170300""",41.95,N/A,N/A,N/A
"Kycklingkebab, Fryst",ELDORADO,"=""7340083478253""",69.95,N/A,N/A,N/A
Smör Normalsaltat 82%,SVENSKT SMÖR,"=""7310865005168""",55.95,N/A,N/A,N/A
Pågenlimpan,PÅGEN,"=""7311070338188""",34.95,N/A,N/A,N/A
Rökt Gourmetskinka,PÄRSONS,"=""7330797088794""",31.95,N/A,N/A,N/A
Vetekaka 24-Pack,POLARBRÖD,"=""7311800009531""",34.95,N/A,N/A,N/A
Korvbröd 16-Pack,KORVBRÖDSBAGARN,"=""7311379532058""",22.95,N/A,N/A,N/A
Cheez Doodles,OLW,"=""7340005403332""",31.95,24.5,2,49.0
Falukorv,SCAN,"=""7300207516001""",69.95,N/A,N/A,N/A
Laxfilé Fryst,OMEGA,"=""7340083455889""",115,N/A,N/A,N/A
Ketchup,HEINZ,"=""8715700016504""",35.95,N/A,N/A,N/A
Ketchup,FELIX,"=""7310240060157""",41.95,N/A,N/A,N/A
Multivitamin-Drink 30%,GLOCKENGOLD,"=""4013265001053""",21.95,N/A,N/A,N/A
Bryggkaffe Mellanrost,GARANT,"=""7340083474682""",44.95,N/A,N/A,N/A
Hamburgare Färsk 4-Pack,GARANT,"=""7340045502057""",53.95,N/A,N/A,N/A
Jasminris Boil-In-Bag,GARANT,"=""7311043002511""",32.95,27.5,2,55.0
Jasminris,GARANT,"=""7311043002498""",39.95,N/A,N/A,N/A
Bacon Singelpack,GARANT,"=""7340083497346""",13.5,N/A,N/A,N/A
Äpplejuice,GARANT,"=""7340083456701""",29.95,N/A,N/A,N/A
"Koriander I Kruka, Klass 1 EKO",GARANT,"=""7340083470073""",22.95,17.95,1,17.95
Chorizo,GARANT,"=""7340083474316""",29.95,N/A,N/A,N/A
Honung Svensk,GARANT,"=""7340083433375""",64.95,N/A,N/A,N/A
"Köttbullar, Fryst",GARANT,"=""7340083405655""",49.95,N/A,N/A,N/A
Pesto Genovese,GARANT,"=""7311041062654""",31.95,N/A,N/A,N/A
Tacosås Medium,GARANT,"=""7340083467417""",13.95,12.5,2,25.0
Chiafrön,GARANT,"=""7340083451645""",38.95,N/A,N/A,N/A
"Potatis Smått & Gott I Påse, Klass 1",GARANT,"=""7340083475542""",19.95,N/A,N/A,N/A
"Sejfilé, Fryst",GARANT,"=""7311041060872""",46.95,N/A,N/A,N/A
"Mellanmjölk 1,5%",GARANT,"=""7311043002191""",11.95,N/A,N/A,N/A
Chrunchy Jordgubb & Yoghurt,GARANT,"=""7311041062401""",43.95,N/A,N/A,N/A
"Sötpotatis Pommes, Fryst",GARANT,"=""7340083475757""",36.95,N/A,N/A,N/A
Tonfisk I Solrosolja 3-Pack,GARANT,"=""7340083479588""",59.95,N/A,N/A,N/A
Grillkorv,GARANT,"=""7340083465017""",31.95,N/A,N/A,N/A
Sötmandel Hela Naturella,GARANT,"=""7340083483523""",29.95,29.5,2,59.0
Vitlökssalami,GARANT,"=""7311041072905""",20.95,17.5,2,35.0
Pulled Pork,GARANT,"=""7340083437564""",57.95,N/A,N/A,N/A
Vetekaka 24-Pack,GARANT,"=""7340083494635""",29.95,N/A,N/A,N/A
"Pommes Frites, Fryst",GARANT,"=""7311041059142""",27.5,N/A,N/A,N/A
Havregryn,GARANT,"=""7311043000692""",24.95,N/A,N/A,N/A
Kardemummaskorpor,GARANT,"=""7340083405952""",29.95,27.5,2,55.0
Aioli,GARANT,"=""7340083436246""",19.95,17.5,2,35.0
Färska Lasagneplattor,GARANT,"=""7340083430671""",17.95,16,2,32.0
"Sparris, Fryst",GARANT,"=""7311041064498""",34.95,N/A,N/A,N/A
Jasminris,GARANT,"=""7311043002504""",76.95,N/A,N/A,N/A
"Blomkål, Fryst",GARANT,"=""7340083484568""",24.95,N/A,N/A,N/A
Nöt & Grönt,GARANT,"=""7311043004508""",47.95,N/A,N/A,N/A
"Blåbär, Fryst",GARANT,"=""7340083471155""",19.95,N/A,N/A,N/A
Lingonsylt,GARANT,"=""7340083486999""",38.95,N/A,N/A,N/A
Ägg Frigående Inomhus 6-Pack,GARANT,"=""7340083487781""",21.95,N/A,N/A,N/A
Smör&Raps Normalsaltat,GARANT,"=""7340083447983""",49.95,N/A,N/A,N/A
Gräddfil 12%,GARANT,"=""7311041065020""",19.5,N/A,N/A,N/A
Kyckling Rökt,GARANT,"=""7311043000487""",21.95,17.5,2,35.0
"Kycklingvingar, Fryst",GARANT,"=""7340083462221""",32.95,24.95,1,24.95
Fil 3%,GARANT,"=""7340083481000""",17.5,N/A,N/A,N/A
Katrinplommon Torkade,GARANT,"=""7340083476105""",39.95,N/A,N/A,N/A
Orientaliskt Vetebröd,GARANT,"=""7340083492457""",9.95,9,3,27.0
Vispgrädde Laktosfri,GARANT,"=""7340083436017""",18.5,N/A,N/A,N/A
Timjan I Kruka Klass 1 EKO,GARANT,"=""7340083470158""",22.95,17.95,1,17.95
Popcorn Kärnor,GARANT,"=""7340083482694""",14.95,N/A,N/A,N/A
Krossade Tomater Chili,GARANT,"=""7340083476556""",15.95,13,3,39.0
"Wokmix Classic, Fryst",GARANT,"=""7340083499913""",24.95,N/A,N/A,N/A
Havredryck,GARANT,"=""7340083483981""",15.95,N/A,N/A,N/A
Tortillachips Ost,GARANT,"=""7340083467516""",14.95,N/A,N/A,N/A
Kyckling Hel,GARANT,"=""2359715300003""",56.95,N/A,N/A,N/A
"Vegofärs, Fryst",GARANT,"=""7340083490712""",67.95,N/A,N/A,N/A
Kakao,GARANT,"=""7340083439148""",35.95,N/A,N/A,N/A
Isbergssallad,GARANT,"=""7340083484650""",13.95,N/A,N/A,N/A
Ris Långkornigt,GARANT,"=""7340083482106""",54.95,N/A,N/A,N/A
"Mango, Fryst",GARANT,"=""7340083457036""",19.95,N/A,N/A,N/A
Matlagningsvin Vitt,GARANT,"=""7340083469114""",33.95,N/A,N/A,N/A
"Råkostmix Vitkål/Morot, Klass 1",GARANT,"=""7340083470479""",21.95,N/A,N/A,N/A
Kabanoss Smal,GARANT,"=""7340083474576""",29.95,N/A,N/A,N/A
Hushållsost 26%,GARANT,"=""2359745600005""",99.95,N/A,N/A,N/A
Lätt Crème Fraiche Paprika/Chili,GARANT,"=""7340083486036""",34.95,N/A,N/A,N/A
Baguette Surdeg Stenugnsbakad,GARANT,"=""7340083480829""",14.95,N/A,N/A,N/A
Parmigiano Reggiano 22 Mån,GARANT,"=""2359762100007""",319,N/A,N/A,N/A
Grana Padano 12 Månader,GARANT,"=""7340083406133""",56.95,N/A,N/A,N/A
Vispgrädde 36%,SKÅNEMEJERIER,"=""7310867523301""",30.95,N/A,N/A,N/A
Roast'n Toast,PÅGEN,"=""7311070336160""",33.95,N/A,N/A,N/A
Kexchoklad,CLOETTA,"=""7310350118342""",8.95,8.33,3,24.99
Culinesse Flytande Margarin,MILDA,"=""8719200007772""",31.95,N/A,N/A,N/A
Taco Spice Mix,SANTA MARIA,"=""7311310031039""",29.95,N/A,N/A,N/A
Tropisk Juice,BRAVO,"=""7310867561020""",38.95,N/A,N/A,N/A
Våtservetter,ELDORADO,"=""7340083492488""",12.5,N/A,N/A,N/A
Chips Sourcream & Onion,ESTRELLA,"=""7310532106457""",29.95,N/A,N/A,N/A
Havrefras Original,HAVREFRAS,"=""7311171008393""",46.95,N/A,N/A,N/A
Mild Yoghurt Vanilj 2%,ARLA KO,"=""7310865088512""",29.95,N/A,N/A,N/A
"Yoghurt Jordgubb/Smultron 2,0%",YOGGI,"=""7310865018465""",25.95,N/A,N/A,N/A
"Torsk Fina Filéer, Fryst",FINDUS,"=""7310500184302""",89.95,N/A,N/A,N/A
Kycklingfärs,KRONFÅGEL,"=""7300327665009""",79.95,N/A,N/A,N/A
"Kycklingnuggets, Fryst",ELDORADO,"=""7340083457418""",49.95,N/A,N/A,N/A
"Broccoli, Fryst",ELDORADO,"=""7340083462443""",29.95,N/A,N/A,N/A
Amerikansk Dressing,KAVLI,"=""7311440052157""",24.95,21,2,42.0
Champinjoner I Skivor,ELDORADO,"=""7340083432613""",12.95,12.5,2,25.0
Riven Ost Gouda 29%,ELDORADO,"=""7340083435683""",25.95,22.5,2,45.0
Grillkorv,SCAN,"=""7300207071005""",51.95,N/A,N/A,N/A
Fetaost,ZETA,"=""7350002402658""",27.5,N/A,N/A,N/A
"Köttbullar, Fryst",ELDORADO,"=""7340083410765""",54.95,N/A,N/A,N/A
Tortilla Original Medium,SANTA MARIA,"=""7311311020599""",16.95,N/A,N/A,N/A
Äpplejuice,BRAVO,"=""7310867561013""",38.95,N/A,N/A,N/A
"Torskfilé, Fryst",FINDUS,"=""7310500184241""",79.95,N/A,N/A,N/A
Polarpärlan Vete,POLARBRÖD,"=""7311800009555""",34.95,N/A,N/A,N/A
"Hallon, Fryst",ELDORADO,"=""7340083478291""",33.95,N/A,N/A,N/A
"Pommes Strips, Fryst",ELDORADO,"=""7311041058565""",44.95,N/A,N/A,N/A
Hamburgerost,ELDORADO,"=""7340083447532""",23.95,21,2,42.0
Apelsinjuice Med Fruktkött,GARANT,"=""7340083489884""",34.95,N/A,N/A,N/A
Saffran,GARANT,"=""7311041064214""",16.5,12.5,2,25.0
Citron Pressad,GARANT,"=""7340083444616""",9.5,7.5,2,15.0
"Fiskpinnar, Fryst",GARANT,"=""7340083471339""",35.95,N/A,N/A,N/A
Tzatziki,GARANT,"=""7340083454301""",18.95,17.5,2,35.0
"Ruccola, Klass 1",GARANT,"=""7340083482182""",19.95,N/A,N/A,N/A
Flytande Magarin,GARANT,"=""7340083458057""",19.95,N/A,N/A,N/A
Vispgrädde 40%,GARANT,"=""7340083464287""",18.95,N/A,N/A,N/A
"Delikatessköttbullar, Fryst",GARANT,"=""7340083498756""",51.95,N/A,N/A,N/A
"Vitlöksbaguetter, Fryst",GARANT,"=""7311041069059""",25.95,N/A,N/A,N/A
Färsk Pasta Fettucine Naturale,GARANT,"=""7340083430626""",18.95,16,2,32.0
Skinka Rökt Strimlad,GARANT,"=""7340083476648""",23.95,N/A,N/A,N/A
Proteinbröd,GARANT,"=""7340083447235""",26.95,22.5,2,45.0
Blomsterhonung,GARANT,"=""7311043001705""",39.95,N/A,N/A,N/A
Kikärter,GARANT,"=""7340083464850""",10.95,N/A,N/A,N/A
Babyspenat,GARANT,"=""7340083465567""",23.95,N/A,N/A,N/A
Spaghetti,GARANT,"=""7340083468612""",19.95,N/A,N/A,N/A
Cornflakes,GARANT,"=""7340083475641""",29.95,N/A,N/A,N/A
"Dill, Fryst",GARANT,"=""7340083490507""",10.95,N/A,N/A,N/A
Kycklingben,GARANT,"=""2359769300004""",54.95,N/A,N/A,N/A
Tryffelsalami,GARANT,"=""7311043001217""",22.95,17.5,2,35.0
Standardmjölk 3%,GARANT,"=""7340083467875""",12.5,N/A,N/A,N/A
"Haricots Verts, Fryst",GARANT,"=""7340083401718""",20.95,N/A,N/A,N/A
Bakpulver,GARANT,"=""7311041064481""",15.95,N/A,N/A,N/A
Hasselnötter Hela Naturella,GARANT,"=""7340083493416""",36.95,34.5,2,69.0
Tagliatelle,GARANT,"=""7311043001620""",19.95,N/A,N/A,N/A
Grillost 28%,GARANT,"=""7340083495649""",29.95,N/A,N/A,N/A
Tomatpuré,GARANT,"=""7340083469503""",26.95,N/A,N/A,N/A
Marmelad Aprikos,GARANT,"=""7340083435362""",29.95,25,2,50.0
Kabanoss,GARANT,"=""7340083479410""",29.95,N/A,N/A,N/A
"Hallon, Fryst",GARANT,"=""7340083478321""",19.95,N/A,N/A,N/A
Hallonsylt,GARANT,"=""7340083480652""",25.95,N/A,N/A,N/A
Mikropop Smör 3-Pack,GARANT,"=""7340083471193""",19.95,N/A,N/A,N/A
Thaibasilika I Kruka EKO,GARANT,"=""7340083470059""",22.95,17.95,1,17.95
Lingonsylt Lättsockrad,GARANT,"=""7340083480676""",29.95,N/A,N/A,N/A
A-Fil 3%,GARANT,"=""7311043002290""",14.95,N/A,N/A,N/A
Snabbkaffe Mörkrost Refill,GARANT,"=""7340083409745""",56.95,N/A,N/A,N/A
Rödbeta Skivad,GARANT,"=""7340083405099""",23.95,21,2,42.0
Potatis Mjölig Klass 1,GARANT,"=""7340083475597""",18.95,N/A,N/A,N/A
Marmelad Björnbär,GARANT,"=""7340083439681""",29.95,25,2,50.0
Pasta Tortelloni Al Prosciutto,GARANT,"=""7340083474743""",29.95,24.5,2,49.0
Mandeldryck,GARANT,"=""7340083447884""",21.95,20,2,40.0
Prinskorv,GARANT,"=""7340083450433""",26.95,N/A,N/A,N/A
Minimajskakor Popcorn,GARANT,"=""7340083492679""",13.95,N/A,N/A,N/A
Herrgård 28%,GARANT,"=""2359772800003""",105,N/A,N/A,N/A
Fuet,GARANT,"=""7340083404610""",42.95,N/A,N/A,N/A
Varmkorv,GARANT,"=""7340083444340""",37.95,N/A,N/A,N/A
Tryffelmajonnäs,GARANT,"=""7340083454295""",23.95,17.5,2,35.0
Kebabsås Vit,GARANT,"=""7311043000944""",23.5,21,2,42.0
Kalvfond,GARANT,"=""7340083430244""",29.95,N/A,N/A,N/A
Tacosås Mild,GARANT,"=""7340083467400""",13.95,12.5,2,25.0
Couscous,GARANT,"=""7311043000968""",34.95,N/A,N/A,N/A
Apelsinjuice,GARANT,"=""7340083456695""",36.95,N/A,N/A,N/A
Majs 3-pack,GARANT,"=""7340083476594""",29.95,N/A,N/A,N/A
Specialflingor Naturella,GARANT,"=""7340083475733""",45.95,N/A,N/A,N/A
Prosciutto Crudo,GARANT,"=""7340083427923""",37.95,N/A,N/A,N/A
Soltorkade Tomater,GARANT,"=""7311041062494""",33.95,N/A,N/A,N/A
Pizzasallad,GARANT,"=""7340083476495""",15.95,13.95,1,13.95
Jordgubbssylt,GARANT,"=""7340083480645""",23.95,N/A,N/A,N/A
Lingonbröd,GARANT,"=""7311041062692""",19.95,N/A,N/A,N/A
"Persilja Krus I Kruka, Klass 1 EKO",GARANT,"=""7340083470189""",19.95,17.95,1,17.95
Pesto Rosso,GARANT,"=""7311041062661""",31.95,N/A,N/A,N/A
Tacosås Stark,GARANT,"=""7340083467424""",13.95,12.5,2,25.0
"Smoothiemix Röd, Fryst",GARANT,"=""7340083464171""",30.95,N/A,N/A,N/A
Drottningsylt,GARANT,"=""7340083480669""",25.95,N/A,N/A,N/A
Smörgåsgurka Skivad,GARANT,"=""7340083405082""",22.95,21,2,42.0
"Persilja, Fryst",GARANT,"=""7340083481048""",10.95,N/A,N/A,N/A
Salsicciakorv Färsk,GARANT,"=""7340045507885""",43.95,N/A,N/A,N/A
Kycklingfond,GARANT,"=""7340083430220""",29.95,N/A,N/A,N/A
Vetemjöl Special,GARANT,"=""7311041060223""",25.95,N/A,N/A,N/A
"Frisé/Machesallad, Klass 1",GARANT,"=""7340083465604""",19.95,N/A,N/A,N/A
Ravioli Svamp,GARANT,"=""7311043003556""",29.95,24.5,2,49.0
Balsamvinäger Från Modena,GARANT,"=""7311041068243""",41.95,N/A,N/A,N/A
Pasta Penne Rigate,GARANT,"=""7340083478192""",14.95,13.5,2,27.0
Bakchoklad Mörk 55%,GARANT,"=""7340083495236""",27.95,22.5,2,45.0
"Fries Steakhouse, Fryst",GARANT,"=""7340083467608""",26.95,N/A,N/A,N/A
Korvbröd Brioche,GARANT,"=""7340083448454""",29.95,N/A,N/A,N/A
Flingsalt,GARANT,"=""7340083430251""",22.95,N/A,N/A,N/A
Potatis Stor Kok Klass 1,GARANT,"=""7340083475627""",32.95,N/A,N/A,N/A
"Sojabönor, Fryst",GARANT,"=""7311041065075""",19.95,N/A,N/A,N/A
Tortillachips Salt,GARANT,"=""7340083468070""",12.95,N/A,N/A,N/A
Färsk Pasta Pappardelle,GARANT,"=""7340083430657""",18.95,16,2,32.0
Mörk Choklad Cacao 70%,GARANT,"=""7340083443602""",22.95,N/A,N/A,N/A
Belugalinser,GARANT,"=""7311043002696""",36.95,N/A,N/A,N/A
"Basilika, Fryst",GARANT,"=""7340083490538""",10.95,N/A,N/A,N/A
Grönsaksfond,GARANT,"=""7340083430237""",29.95,N/A,N/A,N/A
Creme Fraiche 13%,GARANT,"=""7340083448607""",11.95,N/A,N/A,N/A
Surdegspavé,GARANT,"=""7340083446832""",19.95,N/A,N/A,N/A
Risoni,GARANT,"=""7311043002030""",15.95,N/A,N/A,N/A
Standardmjölk 3% Laktosfri,GARANT,"=""7340083435966""",16.5,15,2,30.0
"Brysselkål, Fryst",GARANT,"=""7340083484551""",19.95,N/A,N/A,N/A
Majskorvar,GARANT,"=""7340083401794""",24.95,N/A,N/A,N/A
Vanillinsocker,GARANT,"=""7311041064474""",9.95,N/A,N/A,N/A
"Vaniljyoghurt 2,0%",GARANT,"=""7340083478178""",18.95,N/A,N/A,N/A
Olivolja Extra Virgin,GARANT,"=""7340083474194""",91.95,N/A,N/A,N/A
Specialflingor Röda Bär,GARANT,"=""7340083475740""",39.95,N/A,N/A,N/A
Tropisk Juice,GARANT,"=""7340083456718""",29.95,N/A,N/A,N/A
"Frasig Firre, Fryst",GARANT,"=""7340083486623""",55.95,N/A,N/A,N/A
Cheddar Skivad 33%,GARANT,"=""7340083440335""",39.95,32,2,64.0
Falukorv Delikatess,GARANT,"=""7340083401312""",33.95,N/A,N/A,N/A
Drömmar,GARANT,"=""7340083401015""",19.95,17.5,2,35.0
Romsås,GARANT,"=""7340083494215""",19.95,N/A,N/A,N/A
Mat & Bakmargarin 80%,GARANT,"=""7340083448591""",19.95,N/A,N/A,N/A
"Kycklinginnerfilé, Fryst",GARANT,"=""7340083434723""",64.95,N/A,N/A,N/A
Lingonsylt Rörda,GARANT,"=""7340083487262""",41.95,N/A,N/A,N/A
"Dill I Kruka, Klass 1 EKO",GARANT,"=""7340083470165""",19.95,17.95,1,17.95
Bryggkaffe Mörkrost,GARANT,"=""7340083474705""",44.95,N/A,N/A,N/A
Skorpor Fullkorn,GARANT,"=""7340083405945""",29.95,27.5,2,55.0
Präst 31%,GARANT,"=""2359772700006""",105,N/A,N/A,N/A
Cashewnötter,GARANT,"=""7340083469008""",31.95,N/A,N/A,N/A
Gouda 31%,GARANT,"=""2359725800005""",105,N/A,N/A,N/A
Köttbullar,GARANT,"=""7311041056387""",26.5,N/A,N/A,N/A
Pasta Tortelloni Ricotta E Spinaci,GARANT,"=""7340083430688""",29.95,24.5,2,49.0
"Ishavsräkor 150/250, Fryst",GARANT,"=""7340083498244""",56.95,N/A,N/A,N/A
Kotlettpastrami,GARANT,"=""7340083492174""",20.95,17.5,2,35.0
Ingefära Shot,GARANT,"=""7340083497803""",37.95,N/A,N/A,N/A
