Product name,Brand,GTIN,Ordinary Price,Active Promotion Price,Min Quantity,Total for x items
Baguette,CITY GROSS,"=""2000992100007""",10.95,8.33,3,24.99
Baguette Med Köttbullar,MANUELL DELIKATESS,"=""2000298300002""",59.95,N/A,N/A,N/A
O'boy Chokladdryck,O'BOY,"=""7622300247942""",39.95,N/A,N/A,N/A
"Äpple Jonagold, Klass 1",,"=""2090219400003""",29.95,N/A,N/A,N/A
ProPud Proteinmilkshake Choklad Laktosfri,PROPUD,"=""7350068291210""",20.95,18.95,1,18.95
Hushållspapper Extra Lång,FIXA,"=""7340083434433""",39.95,N/A,N/A,N/A
Våffelmix EKO,GARANT EKO,"=""7340083464225""",19.95,N/A,N/A,N/A
Grillkorv,SORUNDA KORVFABRIK,"=""7330563001323""",54.95,N/A,N/A,N/A
Korvbröd Med Surdeg 8-Pack,CITY GROSS,"=""2000903400004""",29.95,N/A,N/A,N/A
Ciabatta Ost/Skinka,MANUELL DELIKATESS,"=""2000045800007""",39.95,N/A,N/A,N/A
Protein Bar Caramel Chocolate,NICK'S,"=""7350104403003""",18.95,15,1,15
Nötmix Honung/Chili,EXOTIC SNACKS,"=""7391814006344""",33.5,N/A,N/A,N/A
Russin,SUN-MAID,"=""41143024324""",29.95,N/A,N/A,N/A
Kolsyrad Energidryck,CULT,"=""7350020691089""",20.95,5,2,10.0
Coca-Cola Zero Sugar,COCA-COLA ZERO,"=""5000112637939""",9.95,N/A,N/A,N/A
Fiberpennor,SENSE,"=""7312460103744""",59.95,N/A,N/A,N/A
Drickyoghurt Hallon/Blåbär,YALLA,"=""5711953041945""",15.95,N/A,N/A,N/A
Riskakor Pizzasmak,FRIGGS,"=""7310106055815""",24.95,N/A,N/A,N/A
LEGO® Minecraft® Rävstugan,LEGO,"=""5702017155791""",239,N/A,N/A,N/A
Nudlar Kyckling,BLUE GARDEN,"=""6959237326824""",5.95,5,5,25.0
Kexchoklad 8-Pack,CLOETTA,"=""7310350118359""",54.95,N/A,N/A,N/A
Vattenflaska Blå,HOLLYWOOD MOTIVATIONAL BOTTLE,"=""7090062690199""",139,99.95,1,99.95
"Kvarg Päron/Vanilj 0,2% Utan Tillsatt Socker",LINDAHLS,"=""7310867546676""",22.95,17.95,1,17.95
Chicken Caesar Salad,GOOD,"=""7330247560269""",69.95,N/A,N/A,N/A
Profeel Shake Strawberry Ice Cream,VALIO,"=""6408432001000""",17.95,16,2,32.0
Corny BIG Müslibar Dark Chocolate,CORNY,"=""4011800568511""",9.5,N/A,N/A,N/A
Chokladbar Mjölkchoklad,MARABOU,"=""7622300245146""",8.95,7.5,4,30.0
Drickyoghurt Mango/Banan/Apelsin,YALLA,"=""5711953041914""",15.95,N/A,N/A,N/A
Ost/Skinksallad,GOOD,"=""7330247560559""",69.95,N/A,N/A,N/A
Nutella B-ready,FERRERO,"=""8000500227848""",29.95,N/A,N/A,N/A
Termoskanna,DAY,"=""5709386777210""",129,N/A,N/A,N/A
Fruktstänger Blåbär,CASTUS,"=""5707653008784""",21.95,15,2,30.0
Pärlset ABC,PLAYBOX,"=""7394311910336""",79.95,N/A,N/A,N/A
Majssnacks Äpple/Jordgubb EKO,MINSTINGEN,"=""7340083465864""",10.95,10,2,20.0
Vattenflaska Spindelmannen,SPIDERMAN,"=""8412497747313""",129,N/A,N/A,N/A
Dessert Dubbel Choklad,GRAND DESSERT,"=""4002971253207""",9.95,N/A,N/A,N/A
Baguette Kyckling/Curry,GOOD,"=""7330247303088""",49.95,N/A,N/A,N/A
Resespel Ordmix,TACTIC,"=""6416739565842""",135,N/A,N/A,N/A
Prime Blue Rasberry,PRIMEHYDRATION,"=""7649989242143""",29.95,N/A,N/A,N/A
Proteinshake Hallon/Choklad Laktosfri,VALIO,"=""6408432203046""",17.95,16,2,32.0
Digestive 2-Pack,MCVITIES,"=""5000396048001""",41.95,34.95,1,34.95
Fruktdryck Blueberry/Pear Sockerfri,FESTIS,"=""7310070004055""",12.95,N/A,N/A,N/A
Baguette Köttbullar,GOOD,"=""7330247303019""",54.95,N/A,N/A,N/A
Rismellanmål Jordgubb,RICE N GO,"=""8594002787608""",9.95,9.5,2,19.0
Vattenflaska Gabby's Dollhouse,GABBYDOLLHOUSE,"=""8412497212316""",129,N/A,N/A,N/A
Grillkorv Tjock,STENSÅKRA,"=""7350041421436""",36.95,N/A,N/A,N/A
Servetter 33x33cm Vit,FIXA,"=""7340083434167""",28.95,N/A,N/A,N/A
Milkshake Chokladsmak,YALLA,"=""5711953157028""",14.5,N/A,N/A,N/A
Kyckling Sweet Chili Wrap,GOOD,"=""7330247150224""",49.95,39.95,1,39.95
ProPud Chocolate Chip Cookie Laktosfri,PROPUD,"=""7350068295089""",17.95,16,2,32.0
Proteindryck Mango Laktosfri,DANONE YOPRO,"=""7350000552461""",18.5,15,2,30.0
Potatissallad,ÖRNEBORGS DELIKATESSER,"=""7313310012629""",17.5,N/A,N/A,N/A
LEGO® City Space Rymdrobot,LEGO,"=""5702017588025""",109,81.75,1,81.75
Mattermos,VILDMARK,"=""7391947050047""",249,N/A,N/A,N/A
Bok Lögnaren I Skafferiet,CAPTECH,"=""9789164208668""",89,N/A,N/A,N/A
Termosmugg,VILDMARK,"=""7391947039769""",119,N/A,N/A,N/A
"Äpple Cosmic Crisp, Klass 1",,"=""2091116000006""",49.95,N/A,N/A,N/A
Crunchy Bar Hallon/Vanilj,SANTE,"=""5900617015723""",9.95,5,1,5
Resespel Lista Rätt,TACTIC,"=""6416739565200""",135,N/A,N/A,N/A
Ståltermos,VILDMARK,"=""7391947050245""",159,N/A,N/A,N/A
Grillkorv,PER I VIKEN,"=""7332245553007""",66.95,N/A,N/A,N/A
Äppeldelare,GASTROMAX,"=""7332462071933""",44.95,N/A,N/A,N/A
Semlor 2-Pack,CITY GROSS,"=""2000952800008""",44.95,N/A,N/A,N/A
Semlor 2-Pack,CITY GROSS,"=""2000994100005""",44.95,N/A,N/A,N/A
Semlor 10-Pack,CITY GROSS,"=""2000953600003""",179,N/A,N/A,N/A
Semlor 10-Pack,CITY GROSS,"=""2000994300009""",179,N/A,N/A,N/A
Semlor 4-Pack,CITY GROSS,"=""2000952700001""",74.95,N/A,N/A,N/A
Semlor 4-Pack,CITY GROSS,"=""2000994200002""",79.95,N/A,N/A,N/A
Släta Bullar 8-Pack,CITY GROSS,"=""2000993800005""",39.95,N/A,N/A,N/A
Släta Bullar 8-Pack,CITY GROSS,"=""2000917600001""",29.95,N/A,N/A,N/A
Mini Krustader,RAHMS,"=""7350137710017""",44.95,N/A,N/A,N/A
"Croissanter, Fryst",HATTING,"=""5413056033628""",39.95,N/A,N/A,N/A
Semlebullar 8-Pack,PÅGEN,"=""7311070336573""",46.95,N/A,N/A,N/A
iMat Visp,OATLY,"=""7394376617768""",19.95,N/A,N/A,N/A
Kardemummakärnor,SANTA MARIA,"=""7311311004346""",19.95,N/A,N/A,N/A
Florsocker,DANSUKKER,"=""5701259100781""",19.95,N/A,N/A,N/A
Vispgrädde 40%,HOLMRYDS MEJERI,"=""7350092520034""",40.95,N/A,N/A,N/A
Spritspåsar + Munstycke,TOPPITS,"=""4008871200884""",30.95,N/A,N/A,N/A
Slickepott Silikon,GASTROMAX,"=""7332462097131""",44.95,N/A,N/A,N/A
Spritspåse,JONAS,"=""7314990222131""",49.95,N/A,N/A,N/A
Spiralvisp Metall,GASTROMAX,"=""7316830071510""",29.95,N/A,N/A,N/A
Vispskålar Vita,GASTROMAX,"=""7332462027879""",44.95,N/A,N/A,N/A
Vispgrädde 40%,ÖSTGÖTAMJÖLK,"=""7350046140103""",34.5,N/A,N/A,N/A
Vispgrädden 40%,NORRMEJERIER,"=""7310861003182""",25.95,N/A,N/A,N/A
Vispgrädde 40%,GEFLEORTENS,"=""7310865889294""",20.95,N/A,N/A,N/A
Pepsi Max,PEPSI,"=""7310070382306""",19.5,11.13,8,89.04
Blandfärs,BUTIKSSTYCKAT SVENSKT KÖTT,"=""2000465800007""",105,N/A,N/A,N/A
Fläskytterfilé Mörad,DALSJÖFORS,"=""2330045300000""",99.95,N/A,N/A,N/A
Kaffe Skånerost,ZOÉGAS,"=""7310731101734""",59.95,N/A,N/A,N/A
Avfallspåse 30L,FIXA,"=""7340083452482""",29.95,22.5,2,45.0
Zingo Apelsin,ZINGO,"=""7310070378507""",19.5,11.13,8,89.04
Coca Cola Zero 30-Pack,COCA-COLA ZERO,"=""5449000308450""",179,N/A,N/A,N/A
Pepsi Max,PEPSI,"=""7310070005250""",8.95,6.45,20,129.0
Oxfilé Halv,BUTIKSSTYCKAT SVENSKT KÖTT,"=""2000423800001""",539,N/A,N/A,N/A
"Citron, Klass 1",Primifiori,"=""74304""",6.95,6,3,18.0
"Rödlök I Nät, Klass 1",,"=""7311041046296""",26.95,24.95,1,24.95
"Lime, Klass 1",,"=""74048""",5.95,N/A,N/A,N/A
Benfria Fläskkotletter I Skivor,BUTIKSSTYCKAT SVENSKT KÖTT,"=""2000404900003""",129,N/A,N/A,N/A
Grillkol,FIXA,"=""7340083498046""",99.95,89.95,1,89.95
Pajdeg Med Smör,POP! BAKERY,"=""3392590205093""",31.95,N/A,N/A,N/A
"Blåbär, Klass 1",,"=""8717496045126""",39.95,N/A,N/A,N/A
Spraygrädde 35%,CHANTIBIC,"=""5410488842118""",28.95,N/A,N/A,N/A
"Hallon, Klass 1",,"=""7330583004335""",39.95,N/A,N/A,N/A
"Dill I Bubbla, Klass 1",,"=""7394048008177""",16.95,N/A,N/A,N/A
"Köttbullar, Färska",MANUELL DELIKATESS,"=""2000066700003""",249,N/A,N/A,N/A
Ölandskavring,CITY GROSS,"=""2000911900008""",29.95,24.98,2,49.96
Prinsesstårta Grön 6-8 Portioner,CITY GROSS,"=""2000935700004""",199,N/A,N/A,N/A
Benfria Karrékotletter,BUTIKSSTYCKAT SVENSKT KÖTT,"=""2000408600008""",129,N/A,N/A,N/A
Laxfilé Bit,LERÖY,"=""7350003751892""",159,N/A,N/A,N/A
Prinskorv Tunt Skinn,SCAN,"=""7300207276004""",51.95,N/A,N/A,N/A
Västkustchips Vitlök/Gräslök/Chili,ESTRELLA,"=""7310532107478""",28.95,N/A,N/A,N/A
Non Stop Original Partysize,MARABOU,"=""7622300790912""",34.95,N/A,N/A,N/A
"Cantaloupemelon, Klass 1",,"=""2090192900002""",54.95,N/A,N/A,N/A
"Gräddglass Vanilj, Fryst",SIA GLASS,"=""7312690021108""",16.95,N/A,N/A,N/A
"Rädisor I Strut, Klass 1",,"=""8717524240011""",10.95,10,2,20.0
Ship Full Of Ipa Öl Alkoholfri,BRUTAL BREWING,"=""7310401034799""",16.95,15,2,30.0
Dipmix Holiday,ESTRELLA,"=""7310531037905""",11.5,N/A,N/A,N/A
Staropramen Öl Alkoholfri,STAROPRAMEN,"=""8593868002832""",13.95,N/A,N/A,N/A
Tonic Water,SCHWEPPES,"=""7310401003306""",24.95,N/A,N/A,N/A
Tårtbotten 3 Delad,HÄGGES,"=""7312110003134""",33.95,N/A,N/A,N/A
Laxfilé Helsida Benfri,LERÖY,"=""2380299900006""",369,N/A,N/A,N/A
Nätchips Sourcream & Onion,ESTRELLA,"=""7310532109090""",28.95,N/A,N/A,N/A
Stjärnor Sourcream & Onion,OLW,"=""7340005404056""",20.95,N/A,N/A,N/A
"Vegetariska Delikatessbullar, Fryst",FELIX,"=""7310240075779""",53.95,N/A,N/A,N/A
Blandat Strössel,DR. OETKER,"=""5701073063040""",15.95,N/A,N/A,N/A
Marschaller 2-Pack,BFAB,"=""6416905017021""",24.95,20,2,40.0
"Nötköttbullar, Fryst EKO",SCAN,"=""7300299061007""",44.95,N/A,N/A,N/A
Vaniljsås Färdig,EKSTRÖMS,"=""7310470061108""",16.95,N/A,N/A,N/A
Dipmix Sourcream & Onion,ESTRELLA,"=""7310532130513""",11.5,N/A,N/A,N/A
Lantchips Gräddfil,LANTCHIPS,"=""7392659002102""",27.95,N/A,N/A,N/A
Pripps Blå Öl Alkoholfri,PRIPPS BLÅ,"=""7310072000574""",39.95,N/A,N/A,N/A
Gårdschips Tryffel,GÅRDSCHIPS,"=""7350045591050""",27.95,20,2,40.0
Cider Sparkling Rosé Alkoholfri,SOMERSBY,"=""7310070003362""",11.95,N/A,N/A,N/A
Chokladsås,ODENSE,"=""5709521044269""",33.95,N/A,N/A,N/A
Lemon Curd,ROBERTSONS,"=""5000172100138""",32.95,N/A,N/A,N/A
Engångstallrikar 22cm,ELDORADO,"=""7340083452949""",29.95,N/A,N/A,N/A
"Jordgubbstårta, Fryst",FRÖDINGE,"=""7310890601854""",58.95,N/A,N/A,N/A
Tandpetare 300st,BFAB,"=""7330010156903""",24.95,N/A,N/A,N/A
Ginger Ale,SCHWEPPES,"=""7310401003221""",24.95,N/A,N/A,N/A
Mousserande Vin Rosé,FREIXENET,"=""8410384053073""",74.95,N/A,N/A,N/A
"Staropramen Öl 3,5%",STAROPRAMEN,"=""8593868001422""",16.95,N/A,N/A,N/A
Linsbågar Cheddar/Sourcream & Onion,ESTRELLA,"=""7310532113486""",24.5,N/A,N/A,N/A
"Glass Marängswiss, Fryst",SIA GLASS,"=""7312690021504""",45.95,N/A,N/A,N/A
Party Glassbägare 18cl,DUKA PARTY,"=""7331746224713""",35,N/A,N/A,N/A
"Glass Vanilj, Fryst",OATLY,"=""7394376618314""",29.95,N/A,N/A,N/A
"Cheesecake Strawberry, Fryst",DR. OETKER,"=""4001724023524""",65.95,N/A,N/A,N/A
"Glass Citron Sorbet, Fryst",SIA GLASS,"=""7312690021566""",20.95,N/A,N/A,N/A
Dukrulle Vit,RETAIL E,"=""7350025785882""",185,N/A,N/A,N/A
Schweppes Mojito,SCHWEPPES,"=""7310401020761""",24.95,N/A,N/A,N/A
Chilinötter,OLW,"=""7340005405343""",31.95,N/A,N/A,N/A
Vaniljkräm Bakstabil,DR. OETKER,"=""5701073023983""",15.95,N/A,N/A,N/A
Dukrulle Dunicel Mellow Rose,DUNI,"=""7321011854615""",139,N/A,N/A,N/A
Prinskorv Kalkon,INGELSTA KALKON,"=""7331044008633""",59.95,N/A,N/A,N/A
Plastkaffeskedar,LITO PLAST,"=""7392678925390""",21.95,N/A,N/A,N/A
Plastgafflar,LITO PLAST,"=""7392678925352""",22.95,N/A,N/A,N/A
Istärningspåsar,TOPPITS,"=""4008871213150""",17.95,N/A,N/A,N/A
Plastknivar,LITO PLAST,"=""7392678925338""",22.95,N/A,N/A,N/A
"Cider Päron 0,9% EKO KRAV",HERRLJUNGA,"=""7312720021825""",17.95,N/A,N/A,N/A
Mousserande Vin Alkoholfri,CHAPEL HILL,"=""5998813159921""",74.95,N/A,N/A,N/A
Party Mugg Prick 30cl,DUKA PARTY,"=""7331746224690""",35,N/A,N/A,N/A
Lemonad Citron EKO,KIVIKS MUSTERI,"=""7314720632445""",18.95,N/A,N/A,N/A
Gårdschips Brynt Smör/Dill,GÅRDSCHIPS,"=""7350045594631""",27.95,20,2,40.0
Paj Västerbottensost,CAROLINES KÖK,"=""7331500893018""",129,N/A,N/A,N/A
Party Pappersgirlang Vimpel,DUKA,"=""7331746224737""",39,N/A,N/A,N/A
Servetter Lingrön 40cm,DUKA,"=""7331746296420""",39.95,N/A,N/A,N/A
Party Assiett 18cm,DUKA PARTY,"=""7331746224676""",25,N/A,N/A,N/A
Plastmatskedar,LITO PLAST,"=""7392678925376""",22.95,N/A,N/A,N/A
Party Tårtflaggor,DUKA PARTY,"=""7331746224751""",19,N/A,N/A,N/A
Rotfuktschips,GÅRDSCHIPS,"=""7350045594600""",27.95,20,2,40.0
Arkduk Vit,DUNI,"=""7321011538522""",109,N/A,N/A,N/A
Grillklubbor Av Fläsk,BUTIKSSTYCKAT SVENSKT KÖTT,"=""2000416500000""",115,N/A,N/A,N/A
Skålset 3-Pack,DAY,"=""5709386740634""",199,N/A,N/A,N/A
Äggkokare,EMERIO,"=""7350034642022""",229,199,1,199
"Cocktailtomater, Klass 1",,"=""7312730070165""",19.95,17.5,2,35.0
"Gröna Druvor, Klass 1",Thompson,"=""7340007911040""",49.95,N/A,N/A,N/A
Kanelbullar 10-Pack,CITY GROSS,"=""2000981400002""",59.95,N/A,N/A,N/A
Kanellängd,CITY GROSS,"=""2000982600005""",39.95,30,2,60.0
"Romansallad, Klass 1",,"=""7394048580123""",21.95,N/A,N/A,N/A
Grillkorv Ost & Bacon,SCAN,"=""7300201432000""",45.95,N/A,N/A,N/A
Kardemummalängd,CITY GROSS,"=""2000982800009""",39.95,30,2,60.0
Carlsberg Öl Alkoholfri EKO,CARLSBERG,"=""7310070002396""",10.95,8.29,24,198.96
Pain Riche,CITY GROSS,"=""2000992000000""",19.95,17.5,2,35.0
Rostbiff Grillad,JOJJEN,"=""2000588700000""",279,N/A,N/A,N/A
"Glass Äkta Vanilj, Fryst",TRIUMF GLASS,"=""7312060502251""",44.95,N/A,N/A,N/A
